Date,Rate,"ISO Code From","ISO Code To"
"4/15/2024 Monday","1,386.10492",USD,KRW
"4/16/2024 Tuesday","1,389.38084",USD,KRW
"4/17/2024 Wednesday","1,379.45189",USD,KRW
"4/18/2024 Thursday","1,378.69152",USD,KRW
"4/19/2024 Friday","1,374.49500",USD,KRW
"4/22/2024 Monday","1,377.38000",USD,KRW
"4/23/2024 Tuesday","1,371.53794",USD,KRW
"4/24/2024 Wednesday","1,375.61058",USD,KRW
"4/25/2024 Thursday","1,371.79965",USD,KRW
"4/26/2024 Friday","1,378.08816",USD,KRW
"4/29/2024 Monday","1,375.19332",USD,KRW
"4/30/2024 Tuesday","1,383.89111",USD,KRW
"5/1/2024 Wednesday","1,378.00954",USD,KRW
"5/2/2024 Thursday","1,365.63000",USD,KRW
"5/3/2024 Friday","1,356.04500",USD,KRW
"5/6/2024 Monday","1,355.00755",USD,KRW
"5/7/2024 Tuesday","1,357.55140",USD,KRW
"5/8/2024 Wednesday","1,365.02037",USD,KRW
"5/9/2024 Thursday","1,365.79721",USD,KRW
"5/10/2024 Friday","1,371.10000",USD,KRW
"5/13/2024 Monday","1,365.03969",USD,KRW
"5/14/2024 Tuesday","1,363.75244",USD,KRW
"5/15/2024 Wednesday","1,352.80272",USD,KRW
"5/16/2024 Thursday","1,347.31008",USD,KRW
"5/17/2024 Friday","1,354.39000",USD,KRW
"5/20/2024 Monday","1,358.90925",USD,KRW
"5/21/2024 Tuesday","1,363.71846",USD,KRW
"5/22/2024 Wednesday","1,364.67805",USD,KRW
"5/23/2024 Thursday","1,366.41982",USD,KRW
"5/24/2024 Friday","1,366.70000",USD,KRW
"5/27/2024 Monday","1,359.65851",USD,KRW
"5/28/2024 Tuesday","1,361.73045",USD,KRW
